label,name,code
0,They All Went to Heaven in a Little Rowboat 2.0,GC839JV
46,Georgia's Master Puzzler Challenge,GC7XV2X
0,Circles within Circles,GC397FF
35,SRT: RC Spectator,GC7X7VT
35,East Atlanta Bibliophiles #1,GC6RWXY
40,Bethany Dog Tree Cache,GC5C0HP
35,"oK, ROGER cache",GC7X7VC
45,Southside BeltLine: Tag You're It!,GC2E2V4
37,"Allons-y, Alonso!",GC8T5DR
35,Welcome to Historic South Atlanta,GC7X7V9
35,"Downtown/Main Street USA:  Fayetteville, Ga.",GC6X3MR
35,Chevring South Metro 675,GC6RKQJ
35,Rock the Boat,GC6RCT3
0,Obvious Light for a Dollar,GC3B1R1
35,Cache My Disease,GC7X65Y
35,F You Corner,GC8AHA2
35,Walker Park,GC8TC5F
35,DNF Heaven. Good luck muahaahah,GC7X65X
35,Quilt of Nations,GC6RB8A
40,A Cache for the End of the World,GC5NYZK
35,Mr. Templeton,GC7X7VK
45,No Country for Netflix,GC75NR4
1,Taggart Transcontinental,GC1WCHM
37,Monster Mash,GC91XVC
35,Fox Den,GC7X65N
40,Southside Super Series:The Many Faces of Lois Lane,GC1CZ62
35,Trees of Fayette and Cowete # 1,GC6RR0X
35,Live (Pronunciation: 'lIv),GC7X658
0,Union Hall I-20 Overlook,GC5HWPG
35,Terminus Bluff,GC7X657
49,An Ellenwood Cowboy,GC1D2NN
0,Guarding South Fulton #24,GC5M2KY
0,Earth Month-Part 1,GC8JAAF
35,All About The Bass,GC7X7XT
40,Guarding Whitefoord,GC5FBN9
35,Looking 4 A Job,GC7X654
35,Chase's Cache,GC6R3CE
45,Trainspotters Three,GC13F98
35,Carnegie's Gift,GC7X7XH
35,Doll's Death Head,GC7X651
1,Signal 19,GC3MVG4
35,What letter comes after J?  20K of course!,GC7X7XF
35,High Five,GC6X3M9
35,The Perks of Perkerson Park,GC79BN3
35,Folk Art Park Too,GC7X64X
1,Transylvania Twist,GC8H2KB
35,The Walking Dead: “Days Gone Bye”,GC7X7XC
37,Constitution Lakes Swamp,GC92AF5
35,Bring Your Luckie Charm,GC6XYFQ
1,Under the Boardwalk,GC5VXDK
35,PATH: Mile 1 cache,GC6RR14
0,Burn Your Bogie?,GC1CZ5H
2,Pipe Dreams,GC5NX7V
35,I'm TRIP'n,GC7X7X8
35,Michael Gregory,GC7X64K
40,Doll's Head Trail Adventure Lab Bonus Cache,GC2AJ9H
1,"AAG Achiever: PATH, Rooted",GC5CT01
2,Swamp Cache,GC3A42N
35,Porcafix 3.0,GC6WKJR
35,Constitution Lake Deliverance,GC6W3F7
35,Inman Park Battle of Atlanta Cache,GC7X7WZ
35,Lakewood's Geocacher 500,GC7X64J
37,That Which We Call a Rose,GC98DXB
35,Beverly,GC7X7WT
35,Clap Pat! Clap your hand,GC6RR1J
40,Lane Cove,GC296MV
2,Guarding George W Brumley,GC2KAR9
35,The Spot,GC7X64D
35,PATH: Sean Allen is missing a J,GC7X7WJ
35,Quack Attack - Canvasback Duck,GC70J2P
35,Utoy Boulder,GC7X64A
35,Geocaching rocks!,GC7X7W3
49,Springvale Park,GC1J78J
0,A Thrifty Cache: Atlanta (Metropolitan Pkwy),GC1D66M
0,Herndon Overlook,GCM6Q0
35,Fallen Soldiers,GC7X65M
40,Ghetto Stonehenge,GC1J2RB
2,Publix Enemy #5,GC3A5VY
0,3 6 9 The Goose Drank wine,GC7PBNE
35,RAO II,GC7X65H
37,PATH: Freedom's Strides,GC94WFF
2,Southside Super Series - Superman,GC8T6EK
28,"Hale Yeah, I Think It's a Bird!",GC4ZEA8
0,Free Air,GC17MFJ
37,Procrastination Depo,GC8YG93
40,B & B Drive By XIII Union Station,GC5XE1K
0,Georgia Ducks ??,GCHAQH
49,Publix Enemy #3,GC18TXB
35,285 Centroid (ish),GC6PDY1
43,Good Eatin',GC6PM7K
35,Much Ado About Nothing,GC6WFFA
35,Treasure Ahoy!,GC6V4PK
40,PATH: Back in Black,GC1J9RM
42,Boxzilla,GC7PEXF
37,Retail Me This,GC8X2W5
2,What does Saf-T-Man put in his Chili?,GC36J2M
0,My Personal First,GCNKBT
35,The Easter Beagle,GC6VTDB
0,Coan Park,GC3B1RK
0,Kenwood Nature Trail,GC4RTFV
2,Nancy Discovers the Upside Down,GC3A3K2
2,Park Bench,GC4ZTBV
35,Quick Trip Hard Find,GC6RB7X
35,Georgia Style III,GC70J2N
49,WEDGIE,GCK1ZP
1,I'm TRIP'n Too,GC855VV
37,Caching among the stars,GC8YG8J
0,Guarding South Fulton #27,GC6ZGGY
40,E and M's cache,GC37FW9
1,Georgia Reviewer Challenge- Bronze,GC72PVQ
40,Dragonflies,GC2A51V
49,Cache ATL,GC3B1QR
46,PATH: (the former location of) Inman Park Library,GC1QPHG
35,OCTOPUS FEVER,GC6WJTR
2,Neverwhere - ERD,GC6064Z
2,Over The Rail,GC5NX0K
1,Georgia/Utah Teamwork Multi,GC8YQJT
2,Guarding South Fulton #28,GC4224M
37,Here & There,GC8YK51
0,Random business naming convention....,GC1502R
1,The Amazing Race: Detour,GC6RAYG
47,B&B Dead Ringer South,GC5VB3C
37,Cache is it!,GC8ZWMB
45,East Point Shopping,GC5PBRF
1,The Pendleton Adventure,GC7QKR0
4,"I'm Still Here, Fred",GC5NVFZ
40,PCG: Corrugation,GC5NFXE
0,Morrow Minute,GC8Y4EW
37,Georgia Freshwater Turtles ??,GC8YG89
0,ICache,GC902AK
40,The Lil' Cache,GC2AG3W
49,Guarding South Fulton #29,GCP425
40,Camo,GC283MK
37,"Southside: Near the beginning, or the end",GC9234C
0,Freedom Place,GC4Z7H5
40,Southside: Halfway there,GCKZ03
0,B.Y.O.B. by the Beltline,GC5PFHE
40,teamtwopeas #1,GC5NFY5
1,King of Kirkwood,GC6XQK9
1,Downtown East Point #2,GC6WDR8
37,Multi-Mary,GC91FWZ
35,Just Bluffing...,GC6TKVC
0,PATH: Beltline Overpass,GC8R5KT
0,Taking Chances,GC1VZHN
28,"""Ever Faithful....""",GC4Z602
0,Southside: Going batty,GC2J5H9
2,Central Park,GC4QGYD
0,The Light Within,GC22RM7
0,Howdy'all Doin (WBS 2/3),GC7YZRF
28,A Flurry of PnGs #4,GC1R1RV
40,Northside Drive Bridge,GC3FMV9
35,Richard's Southside Rx,GC6V4PE
40,PCG: Take a hike on the Travel Bug trail,GC1HJKT
1,Guarding South Fulton #30,GC719RW
37,Take me out to the ball park!,GC9235D
49,Morrow Sky,GC8Y4E3
1,"What'll Ya Have, What'll Ya Have?",GC6W5M9
46,Dead Ringer- Washington & Charles,GCMCCX
37,CITO Year One Challenge,GC8TXGX
49,Night Owl Crystals,GC3APBR
35,AAG Achiever: By the Beltline (Column),GC7BB9E
37,"You know that ""you are a real geocacher"" when....",GC8ZWJJ
0,Welcome to Kirkwood,GCPVH6
0,Guarding Campbell,GC1B5MB
40,For my honey,GC1HWHD
0,Guarding the stream,GC1P2ZQ
2,"Location, Location...Solution!",GC5E95P
35,Attack Of The PNG'S III!,GC6Q545
35,Candler Park Bibliophiles #1,GC7BB91
0,Clayton's Grant,GC5YM5X
43,PROJECT ABE,GC6Q3DZ
1,"The ""Hardest Challenge Cache of all time!""",GC912K2
0,PATH: Freedom Trail,GC5N9FA
49,Attack Of The PNG'S IV!,GC8Y3ZA
35,presTOS-zesTOES,GC6TKVG
40,Yo yo yo! You young Yanks yell yakkity yak yak yak,GC1CZ64
35,Annaliese's Cache,GC7CWBG
37,College Park Bibliophiles #1,GC91FXB
35,Quack Attack!,GC6X0ZK
35,Urgent Care,GC70J2J
40,It’s “Hot” outta the park!,GC2829N
40,Dead Ringer at Fayco/Clayco Border,GC1HWGQ
40,O4W Park - Oasis,GC9022Y
2,Zero Speed Dial Cache,GC5N4ZK
35,Road transmission,GC7BB9Q
37,North Meets South Challenge,GC91FX3
35,Krispy Kache,GC6RR21
35,Chicken Feed,GC70J2G
35,"Ribbit, Ribbit!",GC6RB7K
42,Xylem Xenopus,GC7C3QH
0,Plane English Ivy,GC8N529
1,Godt klaret JJ,GC93NQJ
1,PATH Parkway - a Forgotten Staircase,GC8N514
37,Revenge is a dish,GC90BX4
35,Too “Hot” To Handle,GC6TKVM
35,Filling the Void,GC6V4PB
46,Puzzle Madness,GC8YMVA
0,B & B Dead Ringer North,GC5M8HY
49,Bankhead and Hollywood,GC1822K
1,Unlikely unicorn undermines us,GC8FD4Q
0,Christmas Day 2013,GC2BJQE
37,"KATL Kache, Kachow Karma!",GC8TXPP
0,Code-Cracker,GC91WNK
49,Maybe my mania may miraculously meltdown,GC268Q9
28,Fun With Favorites 20 X 20 Challenge,GC2C547
0,Georgia Pecan Pie,GC1M5EH
28,Take a break on the Beltline,GC2CPF2
0,"Ewww, ewww!  Eerie Elm!",GC5KYHK
0,PATH Parkway North Trailhead,GC3APAH
37,Did I miss my flight?,GC91FWR
37,Homer's Hangout,GC95EGK
47,No Nudge Needed,GC5TEG1
28,Bridge over Troubled Cache,GC6W48Q
35,COTC,GC6X3NA
28,Cache Goals,GC2C54J
35,Guarding Hapeville,GC6V4P3
35,PATH: Carter Center,GC6X3MM
0,Big Silver Bird Watching,GC5NEA0
28,Pullman's Power Peanut Pot,GC63529
35,KATL Airport Travel Bug Hotel,GC6RWZM
16,Score a cache,GC5148
46,Guarding the great wall,GC5RNPC
49,"Green, not Blue",GC593FA
2,KATL TB Hotel Take Three,GC779N3
2,Gas-X 2,GC8XXE0
16,Hellllooooo over there!,GC4E66
1,Stairway to Hosea,GC8VTY0
35,B and B Drive By in College Park,GC6V9FD
0,Tech: Especially Bulldogs!,GC51CJT
0,County Run,GC17MFM
35,A devious hide,GC6TATV
0,Final Fantasy VIII,GC3AP8N
37,Candler Park Bibliophiles #2,GC8VVV7
35,Hey.......I'm lonely too,GC6RWYM
2,PATH: Stop for a cache,GC5QD2H
35,Hangin with the lonely,GC6W65R
45,The Cheshire Cache,GC8ZC2W
35,Ga's Oldest Family Owned Auto Parts Store,GC6TATH
37,Candler Park Connection,GC8VVVH
42,Phileas Fogg Cache,GC13JW0
0,Candler Park Bibliophiles #3,GC8XW2W
45,One Way To The Right Way,GC696Y4
35,Way out of the park,GC6RWZ9
0,Taste the Rainbow,GC98QEF
37,"Pining Away, Up There",GC8ZWN6
0,West Meets East Cache Challenge,GC13FZ8
35,Old Andrew Bailey,GC6V4NV
37,East Coast Cache Qualifier,GC8VJWZ
35,Tongue Torch,GC6TATB
0,AR_Phoenix Trail,GC8JJ61
40,McGrab: Candler Rd,GC93E76
4,Bake the Cake:  Margarine,GC7KYWF
0,Perry Creek,GC1MMDX
37,Grainger's Gutter,GC8T5D9
0,A stroll around Candler Park,GCB0E9
35,Traditional Tourist,GC7CMPX
0,The Green Giant,GC2AG40
0,Atlanta's TB Hotel in the Sky,GC2AAG5
37,Take Me Out to the Ball Game,GC8T76P
37,Light house,GC8R0F2
40,PATH: Mile 3 cache,GC3Q718
40,Georgia Spirit Quest #14 Rebel Not Forgotten,GC1HW4X
49,East Lake Park,GC20NWT
35,007 - International Man of Mystery Challenge,GC6P4FC
0,Monarch of Pops,GC8JJ5C
0,Cuckoo for you!,GC521Q3
35,Around The Creek Bend,GC78X4T
1,[Dead in Douglas] MULTI,GC3PV9E
40,The Clermont Cache!,GC1MVB4
0,Another bump in the Road II,GC8C16M
40,Candler Park Bibliophiles #4,GC5CQC4
49,Madras Park,GCK722
35,Colossus,GC7WMGP
35,Little Giant,GC6RTRT
40,(The former home of ) Don't Shoot the Messenger,GC1HWGW
40,Colt 45,GC25AYM
0,On the Fence,GC4YNET
40,Guarding South Fulton # 20,GC1HMEF
0,Scoot'n Through Kirkwood,GCJYG2
35,Jessie G. Davis Park,GC790GZ
0,Moe Cache 8,GC5A3N0
1,My friend George,GC3QBBW
0,GT Ivy League?,GC1E931
2,EASTER EGG SERIES #1,GC93W7D
16,On The Corner of O’Hara Dr.,GC7873
37,Just like in Kentucky,GC8Q0M3
35,Stage Fright,GC6RTRN
28,[Dead in Douglas] PUZZLE,GC4ZE4Z
1,Change of Command,GC6MWZ4
7,Leyland's Cache,GC2B6KY
49,?? 3rd Quacking for Trash - CITO & Duck Feeding ??,GC13HBJ
0,Jail house Blues,GC18F1Q
35,PATH: Candler Park Oasis,GC6REDR
2,Guarding South Fulton # 19,GC7NP2G
45,Duck Pond,GC84WEH
0,Georgia Spirit Quest #4 Hear the Blue Moose,GC5MPMF
0,A Curiously Strong Geocache - Gadget 0100,GCZEVZ
0,Save your Quarter - Roscoe Crossroads,GC1A6DP
35,3 Oaks Redux,GC6TKGV
35,Red Trail Extreme - River View,GC79BPQ
0,Georgia Friend of the Game Challenge,GC5FPRT
35,Polecat,GC6TWM1
37,Poncey-Highland Bibliophiles #1,GC91FXH
2,Spirit of Independence #5,GC5E933
37,Georgia 150 Trackables Challenge Cache,GC8T75T
2,Georgia Spirit Quest #15 Not White Wine,GC5MXVY
37,Enlighten Your Belly,GC8RH1T
2,Cedar Grove Micro,GC39334
40,Chain Linked,GC1J3PK
35,The Ghost Town of Campbellton,GC6VK48
1,Raising another racket,GC8TAGC
49,A Piece of Pineytown,GC3PZWT
1,Beavers Ain't Happy,GC8XBTQ
2,Douglas County Reverse Wherigo,GC68Q79
0,Turnberry,GCK9DX
2,Plate Tectonics at Pine Mountain Gold Museum,GC8J6DQ
35,SDTL: ¿Bienvenido a Decatur?,GC6TKH3
49,Shakespeare in the Woods?,GC63MEJ
37, Aim For The Bushes,GC8Q0GQ
45,"Going, Going, Gone! Is Gone!  Or Is It ???",GC1822G
16,Let Your Guard Down,GC518E
35,Dead Ringer in Palmetto,GC7T71C
49,"Crew 410 Rally - aka ""Rock Around Rockdale""",GC3B1RZ
49,South Fulton Bluff,GC2NTQZ
40,This is the Place,GC646TM
0,The Family Cache,GC1ARW7
47,AMNHA: Monastery of the Holy Spirit (SRS),GC2P4D8
0,Cricket in the thicket,GC6THQT
35,AMNHA: Monastery (SRS),GC6RTRH
37,Douglasville,GC8TYNG
7,BBQ-ED: Nick-ED & Jimmy-ED,GC2GGG3
40,penguin 1 in Villa Rica,GC20D34
49,AMNHA: Mossy Hollow (SRS),GC2C2CD
28,Hymenoptera,GC84JR7
37,AMNHA: Bridge to Enlightenment v2 (SRS),GC8R0FG
45,Diabetes Trackables Hotel w/view of the Hooch!,GCTAEQ
49,AMNHA: Bonsai (SRS),GC1E7PD
47,Spirit of Independence #8,GC1ARW2
0,AMNHA: Welcome to the Monastery (SRS),GC51MX3
43,Palmetto McFlash,GC1MVBH
46,AMNHA: St. Hubert's Home v2 (SRS),GC5KKF3
35,Lynn's Birthday Bache,GC8AHAJ
40,Green Light Special,GCGDC3
7,Palmetto Challenge is Back,GC73NY0
28,AMNHA: Don't Take Me for Granite (SRS),GC452J6
35,Palmetto History,GC6TKHA
0,Olde Town Conyers Trail cache,GC3APCB
2,Palmetto's Finest,GC58EBT
0,Johnson Park Nature Trail,GC365E3
40,Tool Time,GC86078
40,Johnson Park Custom Cache,GC1923H
0,The Wandering Geocachers,GC337XZ
2,AMNHA: Home Tweet Home (SRS),GC3844M
0,'H' Marks the Spot,GC8ZGB3
28,"""OLD TOWN CONYERS TRAIL"" SERIES #1",GC51FQE
40,Win - Place or Show,GC5QAD6
47,Devil made me do it,GC2GK79
43,H&B ONE at Mirror Lake,GC1DV9G
2,"""Gotcha Covered""",GC93W98
35,Palmetto Facts A.L. Bonus,GC6QE1W
4,AMNHA: Foundations and Bridges (SRS),GCYYJY
29,Jackal - Hunt Series,GCPB7G
0,Madison Lane,GC6ZDND
35,Good Neighbor Cache,GC6QDK2
43,BBQ-ED: Who Squeal-ED?,GC1MW1E
49,Ursus Arctos Horribilis - Hunt Series,GC4HGB2
2,AMNHA: All That Remains (SRS),GC5WT26
2,The Little Campus that Could,GC6RKJW
0,"Dav, Issa Drive By Cache",GC5GWD0
40,Play TIme,GC51DNV
35,P & G,GC6QCR3
35,Never Forget!,GC6QDMY
35,AMNHA: The Crevasse (SRS),GC6TWM7
0,Quail Run - Hunt Series,GC17MF6
0,Cache and Cookies Series III,GC4PFTX
2,Guarding South Fulton #13,GC4P6W4
0,BBQ-ED: Smok-ED to Perfection!,GC7ZK2K
35,Frog Gigging - Hunt Series,GC6QK8T
7,Fly-by Fish Gum Cache,GC5ZDBK
35,Araneae,GC6TWMK
2,AMNHA: Resting Place (SRS),GC71WZW
37,Boundary Waters,GC8YK1D
2,Silver Bullet Express,GC43TEP
0,Mac N WH,GC8GWQ1
7, Off Old Town Conyers Trail Series #5,GC14TWK
0,#1 Read 'em and Weep,GC2GGZA
0,AMNHA: Creekside Cottage (SRS),GC5BPCG
46,Dead End Series #3,GCK2M3
37,R C A,GC90N7F
2,17th Big Blue Switch Throw Anniversary Cache,GC6A2WQ
35,Am I in Florida,GC6TWMH
49,Honor Garden +3,GC63J6H
0,Huckleberry Finn,GC5PD37
2,Bullseye,GC8KFR3
40,AMNHA: Rock Creek (SRS),GC5QACV
2,Guarding South Fulton #14,GC8J5CC
37,AMNHA: Mossy Stump (SRS),GC8R923
40,There's no free candy in this country,GC1JRHC
0,A Pinky Nano for Avonlea,GC19DZ6
2,This_Little_Light_Of_Mine,GC47FG8
16,"""TRAIL BIT""",GCBE57
0,Batter Up!,GC3NCK3
2,Jitterz 2: Revenge of the Muggles,GC7055F
35,Something's Rotten in Douglasville!,GC7DMZE
37,Prickly Pear Patch,GC8YK1Q
49,Bird of Prey,GC1N5MY
8,I'M A STINKER 2,GC619FF
35,Turkey Hunt - Hunt Series,GC8DMYC
49,1350 Parker Road,GC84E3B
1,Beware of the Dog Cacher,GC90283
49,Shopping Spree,GC2QHQZ
35,Boys of Summer,GC759Q0
49,Snug as a cache in the NOW.,GC2DTZC
46,The Place to Be,GC209A5
7,A Part From The Rest,GC1R05Y
2,Bingo!,GC1M4A8
0,The Cacher's Cache,GC1N5NE
0,Water Polo Anyone?,GC2DPNJ
2,2141 Salem Road,GC4PXZ4
49,Simon says...,GC2DPN1
28,Just Sittin' Around.....,GC2RB35
40,Playground by the Lake,GC97CAV
40,I love Quickies!!!,GC3XDJY
2,penguin in Whitesburg,GC641J6
37,Scooby Snack,GC91FWG
49,4th of July,GC8N12G
2,McCon: Take the Subway II,GC77EX7
2,One for the Dog Food Man,GC4PHGP
37,The Rock #2,GC92MFC
35,Presidential Pardon,GC6QDNC
35,The Rock #1,GC78X53
40,One for the Square Dance Lady,GC5QAD3
7,Wholesale Caching,GC1NBVY
8,WING%$#@!,GC53098
35,All Better Now?,GC6R74V
16,The Walking Dead - Scene One,GC5146
46,Covington to Conyers P&G #5,GC1J5DH
0,Guarding South Fulton #7,GC17QXJ
37,A Thrifty Cache: Conyers,GC8VJX3
35,Just before you 'Hit the Wall',GC6R758
40,"""THE D.N.F. SERIES"" ... # 5",GC3Z4JB
35,We Love Pancakes!,GC76EJW
49,Tom Sawyer,GC8JWQ3
40,Ultimate LPS,GC1E7P4
35,Park & Grab & Ride,GC6R74G
2,Publix Enemy #15,GC8DHGN
35,Rockdale Swinging Bridge,GC6R51D
16,Guarding South Fulton #6,GCMFYC
45,A Cache For Rebel,GCKZ99
28,Publix Enemy #21,GC3A527
42,Southside Super Series - Jimmy Olsen,GCKZ8W
0,Follow HIM here,GC1ZCCW
0,*lllllll*'s Old Spring House,GC1YBK1
0,Remote Location #5,GCTAGC
40,Flattery will get you the cache!,GC2AJD3
49,Farm Ruins Cache,GC5Q9DH
28,The Three Ladies,GC2TXCB
0,All Shall Be Well!,GC8ZG3H
28,Westerly Washing,GC2TXD9
0,Washed Up!,GC164XZ
40,The find in the pines,GC25ZRA
16,Welcome to Hutchenson Ferry  Park,GC4A5E
35,Hicks Lake Cache,GC6QQAM
7,The Smallest Court House Around,GC142DR
47,Lock em Up!,GCM74M
7,Layla,GC39TQZ
0,American Tower Cache,GC68Z9B
49,Dead Ringer - Post Road,GC5TP2R
49,A Not So Wally World Cache,GC88GK2
35,"Another Music Puzzle, Or Is It?",GC6QK8K
26,Only Time Will Tell,GC91ZJ5
40,"Goodness how delicious, eating goober peas!",GC3BZFJ
